x	wf1	wf2	wf3
-16.93359	159.8	159.7009	159.5958
-16.9043	160.3065	160.2086	160.1047
-16.875	160.8122	160.7154	160.6126
-16.8457	161.317	161.2213	161.1197
-16.81641	161.8209	161.7263	161.6259
-16.78711	162.3239	162.2305	162.1312
-16.75781	162.826	162.7337	162.6357
-16.72852	163.3273	163.2361	163.1393
-16.69922	163.8277	163.7376	163.6419
-16.66992	164.3272	164.2383	164.1438
-16.64062	164.8259	164.738	164.6447
-16.61133	165.3236	165.2369	165.1448
-16.58203	165.8205	165.7349	165.6439
-16.55273	166.3165	166.232	166.1422
-16.52344	166.8117	166.7282	166.6396
-16.49414	167.3059	167.2236	167.1361
-16.46484	167.7993	167.7181	167.6317
-16.43555	168.2918	168.2117	168.1265
-16.40625	168.7834	168.7044	168.6204
-16.37695	169.2742	169.1962	169.1134
-16.34766	169.764	169.6872	169.6055
-16.31836	170.253	170.1773	170.0967
-16.28906	170.7411	170.6665	170.5871
-16.25977	171.2284	171.1548	171.0766
-16.23047	171.7147	171.6422	171.5652
-16.20117	172.2002	172.1288	172.0529
-16.17188	172.6848	172.6145	172.5397
-16.14258	173.1686	173.0993	173.0256
-16.11328	173.6514	173.5832	173.5107
-16.08398	174.1334	174.0662	173.9948
-16.05469	174.6145	174.5484	174.4781
-16.02539	175.0947	175.0297	174.9606
-15.99609	175.574	175.5101	175.4421
-15.9668	176.0525	175.9897	175.9228
-15.9375	176.5301	176.4683	176.4026
-15.9082	177.0068	176.9461	176.8815
-15.87891	177.4826	177.423	177.3595
-15.84961	177.9576	177.899	177.8366
-15.82031	178.4317	178.3741	178.3129
-15.79102	178.9049	178.8484	178.7882
-15.76172	179.3772	179.3217	179.2627
-15.73242	179.8486	179.7942	179.7363
-15.70312	180.3192	180.2659	180.209
-15.67383	180.7889	180.7366	180.6809
-15.64453	181.2577	181.2064	181.1518
-15.61523	181.7257	181.6754	181.6219
-15.58594	182.1927	182.1435	182.0911
-15.55664	182.6589	182.6108	182.5594
-15.52734	183.1242	183.0771	183.0269
-15.49805	183.5887	183.5426	183.4936
-15.46875	184.0522	184.0072	183.9593
-15.43945	184.5149	184.4709	184.424
-15.41016	184.9767	184.9337	184.8879
-15.38086	185.4376	185.3956	185.3508
-15.35156	185.8976	185.8566	185.8129
-15.32227	186.3568	186.3168	186.2741
-15.29297	186.8151	186.7762	186.7345
-15.26367	187.2725	187.2346	187.1941
-15.23438	187.7291	187.6922	187.6529
-15.20508	188.1847	188.1489	188.1108
-15.17578	188.6395	188.6047	188.5677
-15.14648	189.0934	189.0596	189.0237
-15.11719	189.5464	189.5136	189.4786
-15.08789	189.9985	189.9667	189.9326
-15.05859	190.4498	190.4189	190.3858
-15.0293	190.9002	190.8703	190.8381
-15	191.3497	191.3209	191.2898
-14.9707	191.7984	191.7706	191.7407
-14.94141	192.2462	192.2194	192.1908
-14.91211	192.6931	192.6674	192.64
-14.88281	193.1391	193.1144	193.0881
-14.85352	193.5842	193.5605	193.5352
-14.82422	194.0284	194.0056	193.9812
-14.79492	194.4718	194.4499	194.4263
-14.76562	194.9143	194.8933	194.8706
-14.73633	195.3559	195.3359	195.3142
-14.70703	195.7967	195.7777	195.757
-14.67773	196.2366	196.2186	196.1992
-14.64844	196.6756	196.6587	196.6404
-14.61914	197.1137	197.0978	197.0807
-14.58984	197.5509	197.536	197.52
-14.56055	197.9873	197.9733	197.9583
-14.53125	198.4228	198.4098	198.3958
-14.50195	198.8574	198.8453	198.8323
-14.47266	199.2911	199.28	199.268
-14.44336	199.7239	199.7138	199.7028
-14.41406	200.1559	200.1466	200.1365
-14.38477	200.5869	200.5786	200.5692
-14.35547	201.0171	201.0097	201.001
-14.32617	201.4465	201.44	201.4322
-14.29688	201.875	201.8696	201.8629
-14.26758	202.3027	202.2984	202.2933
-14.23828	202.7295	202.7264	202.7231
-14.20898	203.1554	203.1533	203.1517
-14.17969	203.5802	203.5791	203.5787
-14.15039	204.0042	204.0037	204.0038
-14.12109	204.4272	204.4273	204.4272
-14.0918	204.8494	204.8501	204.8495
-14.0625	205.2709	205.2723	205.2718
-14.0332	205.6916	205.6941	205.6947
-14.00391	206.1115	206.1155	206.1182
-13.97461	206.5306	206.5361	206.5418
-13.94531	206.9486	206.9555	206.9641
-13.91602	207.3656	207.3735	207.384
-13.88672	207.7816	207.79	207.8008
-13.85742	208.1966	208.2052	208.215
-13.82812	208.6108	208.6196	208.6278
-13.79883	209.0242	209.0336	209.0407
-13.76953	209.4371	209.4474	209.4551
-13.74023	209.8492	209.861	209.871
-13.71094	210.2604	210.274	210.2875
-13.68164	210.6707	210.6859	210.7031
-13.65234	211.0799	211.0963	211.1161
-13.62305	211.488	211.505	211.5257
-13.59375	211.8951	211.9124	211.9322
-13.56445	212.3013	212.3187	212.3368
-13.53516	212.7068	212.7246	212.7412
-13.50586	213.1116	213.1301	213.1465
-13.47656	213.5157	213.5355	213.5533
-13.44727	213.919	213.9403	213.9609
-13.41797	214.3214	214.3443	214.3684
-13.38867	214.7228	214.7471	214.7743
-13.35938	215.1232	215.1484	215.1777
-13.33008	215.5225	215.5483	215.578
-13.30078	215.9209	215.9469	215.9756
-13.27148	216.3184	216.3446	216.3714
-13.24219	216.7152	216.7416	216.7668
-13.21289	217.1112	217.1384	217.1632
-13.18359	217.5066	217.5352	217.5616
-13.1543	217.9013	217.9316	217.9619
-13.125	218.295	218.3273	218.3626
-13.0957	218.6876	218.7216	218.7613
-13.06641	219.0791	219.1139	219.1558
-13.03711	219.4693	219.5041	219.5447
-13.00781	219.8586	219.8927	219.929
-12.97852	220.2472	220.2806	220.3118
-12.94922	220.6353	220.6689	220.6971
-12.91992	221.023	221.0581	221.0877
-12.89062	221.4102	221.448	221.4838
-12.86133	221.7964	221.8373	221.8822
-12.83203	222.1813	222.2246	222.2774
-12.80273	222.5647	222.6088	222.6647
-12.77344	222.9467	222.9899	223.0424
-12.74414	223.3278	223.3691	223.4133
-12.71484	223.7083	223.7482	223.7837
-12.68555	224.0886	224.1287	224.1601
-12.65625	224.4686	224.5109	224.5457
-12.62695	224.8481	224.8939	224.9385
-12.59766	225.2265	225.2759	225.3323
-12.56836	225.6033	225.6549	225.7193
-12.53906	225.9786	226.0301	226.0949
-12.50977	226.3526	226.4025	226.4602
