Tf	wirrc_sta	wirrc_tra	fidc_sta	fidc_tra	wirre_sta	wirre_tra	fide_sta	fide_tra
0.98	22.046472	689.66547	0.99936384069	0.86662638769	17.7746786	551.3973784	0.99945250003	0.85897029571
0.99	21.411544	687.456533	0.99937908606	0.86562009135	17.295229	549.1871192	0.99946299639	0.85823988023
1	20.790705	685.230449	0.99939408673	0.86464801298	16.8255138	546.9641568	0.99947335372	0.85755056496
1.01	20.183745	682.987372	0.99940884286	0.86371064538	16.365417	544.7287232	0.99948357007	0.8569025236
1.02	19.590455	680.727456	0.99942335462	0.86280845877	15.914825	542.481052	0.99949364379	0.85629590157
1.03	19.010633	678.450856	0.99943762225	0.86194190066	15.4736234	540.2213752	0.99950357352	0.85573081637
1.04	18.44408	676.15773	0.99945164598	0.86111139576	15.0416986	537.9499256	0.9995133582	0.85520735796
1.05	17.890601	673.848236	0.9994654261	0.86031734593	14.6189386	535.666936	0.99952299704	0.85472558923
1.06	17.350004	671.522532	0.99947896295	0.85956013008	14.2052306	533.3726392	0.99953248948	0.85428554632
1.07	16.8221	669.180781	0.99949225687	0.8588401041	13.8004618	531.0672664	0.99954183523	0.85388723912
1.08	16.306704	666.823144	0.99950530827	0.85815760087	13.4045218	528.7510504	0.99955103424	0.85353065168
1.09	15.803633	664.449784	0.99951811755	0.85751293021	13.0172994	526.4242232	0.99956008666	0.85321574261
1.1	15.312706	662.060865	0.99953068512	0.85690637881	12.6386834	524.0870152	0.9995689929	0.85294244556
1.11	14.833744	659.656553	0.9995430115	0.85633821031	12.2685642	521.7396576	0.99957775358	0.85271066963
1.12	14.366572	657.237014	0.99955509721	0.85580866521	11.9068306	519.3823816	0.9995863695	0.85252029983
1.13	13.911015	654.802418	0.99956693126	0.8553374086	11.5533738	517.0154176	0.99959487231	0.85238683129
1.14	13.466899	652.352932	0.99957853806	0.85488509663	11.2080834	514.6389952	0.99960320186	0.85227811833
1.15	13.034055	649.888727	0.99958990639	0.8544719861	10.8708514	512.253344	0.99961139035	0.85221032714
1.16	12.612312	647.409974	0.99960103723	0.85409822573	10.5415682	509.8586928	0.9996194394	0.85218325131
1.17	12.2015	644.916846	0.99961193182	0.85376394129	10.2201258	507.4552704	0.99962735078	0.85219666262
1.18	11.801452	642.409517	0.99962259146	0.85346923564	9.9064146	505.0433048	0.99963512646	0.85225031146
